Company name,Code
CENTURIA OFFICE REIT,COF
COCHLEAR LIMITED,COH
COLES GROUP LIMITED.,COL
COMPUTERSHARE LIMITED.,CPU
CHARTER HALL SOCIAL INFRASTRUCTURE REIT,CQE
CHARTER HALL RETAIL REIT,CQR
CSL LIMITED,CSL
CSR LIMITED,CSR
CORPORATE TRAVEL MANAGEMENT LIMITED,CTD
CLINUVEL PHARMACEUTICALS LIMITED,CUV
CROWN RESORTS LIMITED,CWN
CEDAR WOODS PROPERTIES LIMITED,CWP
CLEANAWAY WASTE MANAGEMENT LIMITED,CWY
DICKER DATA LIMITED,DDR
DOMAIN HOLDINGS AUSTRALIA LIMITED.,DHG
DOMINO'S PIZZA ENTERPRISES LIMITED,DMP
DOWNER EDI LIMITED,DOW
DETERRA ROYALTIES LIMITED,DRR
DATA#3 LIMITED,DTL
DEXUS,DXS
ECLIPX GROUP LIMITED,ECX
ESTIA HEALTH LIMITED,EHE
EMECO HOLDINGS LIMITED,EHL
ELDERS LIMITED,ELD
ELMO SOFTWARE LIMITED,ELO
EML PAYMENTS LIMITED,EML
ELECTRO OPTIC SYSTEMS HOLDINGS LIMITED,EOS
BETASHARES GLOBAL SUSTAINABILITY LEADERS ETF,ETHI
EVOLUTION MINING LIMITED,EVN
EVENT HOSPITALITY AND ENTERTAINMENT LTD,EVT
BETASHARES AUSTRALIAN SUSTAINABILITY LEADERS ETF,FAIR
FLETCHER BUILDING LIMITED,FBU
FLIGHT CENTRE TRAVEL GROUP LIMITED,FLT
FORTESCUE METALS GROUP LTD,FMG
FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,FPH
GDI PROPERTY GROUP,GDI
G8 EDUCATION LIMITED,GEM
GENWORTH MORTGAGE INSURANCE AUSTRALIA LIMITED,GMA
GOODMAN GROUP,GMG
GRAINCORP LIMITED,GNC
ETFS METAL SECURITIES AUSTRALIA LIMITED.,GOLD
GOLD ROAD RESOURCES LIMITED,GOR
GROWTHPOINT PROPERTIES AUSTRALIA,GOZ
GPT GROUP,GPT
G.U.D. HOLDINGS LIMITED,GUD
GWA GROUP LIMITED.,GWA
GALAXY RESOURCES LIMITED,GXY
HEALIUS LIMITED,HLS
HOTEL PROPERTY INVESTMENTS,HPI
HANSEN TECHNOLOGIES LIMITED,HSN
HUB24 LIMITED,HUB
HUMM GROUP LIMITED,HUM
HARVEY NORMAN HOLDINGS LIMITED,HVN
INSURANCE AUSTRALIA GROUP LIMITED,IAG
IRONGATE GROUP,IAP
INTEGRAL DIAGNOSTICS LIMITED,IDX
IDP EDUCATION LIMITED,IEL
ISHARES MSCI EMERGING MARKETS ETF,IEM
ISHARES EUROPE ETF,IEU
IOOF HOLDINGS LIMITED,IFL
INFOMEDIA LTD,IFM
IGO LIMITED,IGO
ILUKA RESOURCES LIMITED,ILU
IMDEX LIMITED,IMD
INGENIA COMMUNITIES GROUP,INA
INGHAMS GROUP LIMITED,ING
IPH LIMITED,IPH
INCITEC PIVOT LIMITED,IPL
IRESS LIMITED,IRE
INTEGRATED RESEARCH LIMITED,IRI
INVOCARE LIMITED,IVC
ISHARES S&P 500 ETF,IVV
ISHARES GLOBAL HEALTHCARE ETF,IXJ
JB HI-FI LIMITED,JBH
JANUS HENDERSON GROUP PLC,JHG
JAMES HARDIE INDUSTRIES PLC,JHX
JUMBO INTERACTIVE LIMITED,JIN
KAROON ENERGY LTD,KAR
KOGAN.COM LTD,KGN
KATHMANDU HOLDINGS LIMITED,KMD
LIFESTYLE COMMUNITIES LIMITED,LIC
LENDLEASE GROUP,LLC
LINK ADMINISTRATION HOLDINGS LIMITED,LNK
LOVISA HOLDINGS LIMITED,LOV
LYNAS RARE EARTHS LIMITED,LYC
MAGELLAN FINANCIAL GROUP LIMITED,MFG
MIRVAC GROUP,MGR
MINERAL RESOURCES LIMITED,MIN
MACA LIMITED,MLD
MCMILLAN SHAKESPEARE LIMITED,MMS
MONADELPHOUS GROUP LIMITED,MND
MONEY3 CORPORATION LIMITED,MNY
MEGAPORT LIMITED,MP1
MEDIBANK PRIVATE LIMITED,MPL
MACQUARIE GROUP LIMITED,MQG
MESOBLAST LIMITED,MSB
METCASH LIMITED,MTS
MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,MVP
VANECK VECTORS AUSTRALIAN EQUAL WEIGHT ETF,MVW
MYSTATE LIMITED,MYS
NATIONAL AUSTRALIA BANK LIMITED,NAB
NANOSONICS LIMITED,NAN
NICK SCALI LIMITED,NCK
NEWCREST MINING LIMITED,NCM
BETASHARES NASDAQ 100 ETF,NDQ
NEARMAP LTD,NEA
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,NEC
NAVIGATOR GLOBAL INVESTMENTS LIMITED,NGI
NEW HOPE CORPORATION LIMITED,NHC
NIB HOLDINGS LIMITED,NHF
NICKEL MINES LIMITED,NIC
NATIONAL STORAGE REIT,NSR
NORTHERN STAR RESOURCES LTD,NST
NUFARM LIMITED,NUF
NRW HOLDINGS LIMITED,NWH
NETWEALTH GROUP LIMITED,NWL
NEWS CORPORATION..,NWS
NEXTDC LIMITED,NXT
OMNI BRIDGEWAY LIMITED,OBL
OFX GROUP LIMITED,OFX
OOH!MEDIA LIMITED,OML
OPTHEA LIMITED,OPT
ORORA LIMITED,ORA
OROCOBRE LIMITED,ORE
ORIGIN ENERGY LIMITED,ORG
ORICA LIMITED,ORI
OIL SEARCH LIMITED,OSH
OZ MINERALS LIMITED,OZL
PARADIGM BIOPHARMACEUTICALS LIMITED..,PAR
POINTSBET HOLDINGS LIMITED,PBH
PENDAL GROUP LIMITED,PDL
PACT GROUP HOLDINGS LTD,PGH
PLATINUM INTERNATIONAL FUND (QUOTED MANAGED HEDGE FUND),PIXX
PILBARA MINERALS LIMITED,PLS
PRO MEDICUS LIMITED,PME
PREMIER INVESTMENTS LIMITED,PMV
PINNACLE INVESTMENT MANAGEMENT GROUP LIMITED,PNI
POLYNOVO LIMITED,PNV
PERPETUAL LIMITED,PPT
PERSEUS MINING LIMITED,PRU
PLATINUM ASSET MANAGEMENT LIMITED,PTM
QANTAS AIRWAYS LIMITED,QAN
QBE INSURANCE GROUP LIMITED,QBE
VANECK VECTORS MSCI WORLD EX AUSTRALIA QUALITY ETF,QUAL
QUBE HOLDINGS LIMITED,QUB
RUSSELL INVESTMENTS HIGH DIVIDEND AUSTRALIAN SHARES ETF,RDV
REA GROUP LTD,REA
REECE LIMITED,REH
RURAL FUNDS GROUP,RFF
RAMSAY HEALTH CARE LIMITED,RHC
RIO TINTO LIMITED,RIO
RESMED INC,RMD
RAMELIUS RESOURCES LIMITED,RMS
ETFS ROBO GLOBAL ROBOTICS AND AUTOMATION ETF,ROBO
REGIS RESOURCES LIMITED,RRL
RELIANCE WORLDWIDE CORPORATION LIMITED,RWC
SOUTH32 LIMITED,S32
ST BARBARA LIMITED,SBM
SCENTRE GROUP,SCG
SHOPPING CENTRES AUSTRALASIA PROPERTY GROUP,SCP
STEADFAST GROUP LIMITED,SDF
SEEK LIMITED,SEK
SANDFIRE RESOURCES LIMITED,SFR
SIMS LIMITED,SGM
STOCKLAND,SGP
THE STAR ENTERTAINMENT GROUP LIMITED,SGR
SONIC HEALTHCARE LIMITED,SHL
SELECT HARVESTS LIMITED,SHV
SMARTGROUP CORPORATION LTD,SIQ
SKYCITY ENTERTAINMENT GROUP LIMITED,SKC
SPARK INFRASTRUCTURE GROUP,SKI
SPDR S&P/ASX 200 LISTED PROPERTY FUND,SLF
SEALINK TRAVEL GROUP LIMITED,SLK
SILVER LAKE RESOURCES LIMITED,SLR
SYNLAIT MILK LIMITED,SM1
ETFS ULTRA SHORT NASDAQ 100 HEDGE FUND,SNAS
WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,SOL
SPARK NEW ZEALAND LIMITED,SPK
STARPHARMA HOLDINGS LIMITED,SPL
SERVICE STREAM LIMITED,SSM
SSR MINING INC.,SSR
SANTOS LIMITED,STO
SPDR S&P/ASX 200 FUND,STW
SUPER RETAIL GROUP LIMITED,SUL
SUNCORP GROUP LIMITED,SUN
SEVEN GROUP HOLDINGS LIMITED,SVW
SOUTHERN CROSS MEDIA GROUP LIMITED,SXL
SYDNEY AIRPORT,SYD
TABCORP HOLDINGS LIMITED,TAH
TRANSURBAN GROUP,TCL
ETFS MORNINGSTAR GLOBAL TECHNOLOGY ETF,TECH
TASSAL GROUP LIMITED,TGR
TELSTRA CORPORATION LIMITED.,TLS
TECHNOLOGY ONE LIMITED,TNE
TPG TELECOM LIMITED.,TPG
TEMPLE & WEBSTER GROUP LTD,TPW
TREASURY WINE ESTATES LIMITED,TWE
TYRO PAYMENTS LIMITED,TYR
UNITED MALT GROUP LIMITED,UMG
UNIBAIL-RODAMCO-WESTFIELD,URW
UNITI GROUP LIMITED,UWL
VANGUARD AUSTRALIAN PROPERTY SECURITIES INDEX ETF,VAP
VANGUARD AUSTRALIAN SHARES INDEX ETF,VAS
VICINITY CENTRES,VCX
VIVA ENERGY GROUP LIMITED,VEA
VANGUARD MSCI INDEX INTERNATIONAL SHARES ETF,VGS
VOCUS GROUP LIMITED,VOC
VIRTUS HEALTH LIMITED,VRT
VANGUARD MSCI AUSTRALIAN SMALL COMPANIES INDEX ETF,VSO
VIRGIN MONEY UK PLC,VUK
WESTPAC BANKING CORPORATION,WBC
WEBJET LIMITED,WEB
WESFARMERS LIMITED,WES
WESTGOLD RESOURCES LIMITED.,WGX
WHITEHAVEN COAL LIMITED,WHC
WORLEY LIMITED,WOR
WOOLWORTHS GROUP LIMITED,WOW
WOODSIDE PETROLEUM LTD,WPL
WAYPOINT REIT,WPR
WESTERN AREAS LIMITED,WSA
WISETECH GLOBAL LIMITED,WTC
XERO LIMITED,XRO
ZIP CO LIMITED.,Z1P
