id,sector_id,title,path,code,is_asr,last,change,change_percent,open,high,low,previous_close,52w_low,52w_high,turnover,ytd_percent_change,1yr_percent_change,star_stock,market_cap,volume,last_traded,status,deleted_at,created_at,updated_at
2818,14,Cochlear Ltd,COH,COH,False,204.5,0.140,0.069,204.790,205.220,203.430,204.36,154.600,254.400,27450354.9,8.201,-18.704,False,13444391148,134263,2021-02-17T18:44:23.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:57.000000Z,2021-02-18T08:32:16.000000Z
4311,,TPG Telecom Ltd,TPG,TPG,False,7.04,-0.220,-3.030,7.130,7.150,6.950,7.26,6.840,9.700,6771760.0,-2.493,-20.899,False,13089765350,961898,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:29.000000Z
4071,13,SOUTH32 Ltd,S32,S32,False,2.7,-0.010,-0.369,2.740,2.740,2.650,2.71,1.585,2.820,39412794.1,9.312,3.846,False,12908051328,14585256,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:01.000000Z,2021-02-18T08:32:27.000000Z
3939,12,QBE Insurance Group Ltd,QBE,QBE,False,8.72,-0.040,-0.457,8.730,8.890,8.690,8.76,7.130,15.190,41419942.3,2.227,-41.944,False,12825933845,4732136,2021-02-17T18:42:47.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:01.000000Z,2021-02-18T08:32:26.000000Z
2466,13,Amcor Plc,AMC,AMC,False,14.68,0.040,0.273,14.740,14.780,14.680,14.64,9.870,16.500,31858055.2,-4.302,-4.675,False,12747551151,2165073,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:56.000000Z,2021-02-18T08:32:13.000000Z
4211,12,Suncorp Group Ltd,SUN,SUN,False,9.87,-0.370,-3.613,10.150,10.150,9.830,10.24,7.300,12.510,50867838.5,1.335,-19.098,False,12639536035,5117759,2021-02-17T18:42:48.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:28.000000Z
3284,12,Insurance Australia Group Ltd,IAG,IAG,False,5.05,-0.090,-1.751,5.150,5.165,4.990,5.14,4.380,6.830,35467384.7,7.447,-23.946,False,12448756040,7015787,2021-02-17T18:42:34.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:58.000000Z,2021-02-18T08:32:20.000000Z
3725,13,Northern Star Resources Ltd,NST,NST,False,10.6,-0.140,-1.304,10.670,10.820,10.410,10.74,8.850,17.030,94103079.6,-16.470,-25.614,False,12332490701,8859347,2021-02-17T18:58:42.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:00.000000Z,2021-02-18T08:32:24.000000Z
2495,22,APA Group,APA,APA,False,9.24,-0.070,-0.752,9.370,9.380,9.185,9.31,8.060,11.820,27377328.0,-4.249,-18.662,False,10902219156,2956514,2021-02-17T18:19:52.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:56.000000Z,2021-02-18T08:32:13.000000Z
3996,15,Reece Ltd,REH,REH,False,16.68,0.150,0.907,16.400,16.710,16.250,16.53,7.700,17.120,14493510.5,12.703,45.360,False,10775016139,880305,2021-02-17T18:44:23.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:01.000000Z,2021-02-18T08:32:26.000000Z
4098,21,Seek Ltd,SEK,SEK,False,30.38,-0.420,-1.364,30.470,30.940,30.310,30.8,11.230,31.785,50742940.9,6.484,31.686,False,10725057172,1667749,2021-02-17T18:58:49.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:01.000000Z,2021-02-18T08:32:27.000000Z
4118,17,Stockland,SGP,SGP,False,4.4,-0.110,-2.439,4.450,4.570,4.380,4.51,1.720,5.470,31836383.2,5.263,-15.222,False,10503159313,7153831,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:27.000000Z
4239,16,Tabcorp Holdings Ltd,TAH,TAH,False,4.66,0.250,5.669,4.500,4.730,4.460,4.41,2.070,4.740,41088650.0,19.487,9.158,False,10331869576,8866139,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:02.000000Z,2021-02-18T08:32:28.000000Z
4488,20,Wisetech Global Ltd,WTC,WTC,False,31.56,-0.130,-0.410,31.320,32.100,31.270,31.69,9.970,34.420,39894725.9,2.634,47.477,False,10253543959,1265600,2021-02-17T18:33:25.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:46:03.000000Z,2021-02-18T08:32:30.000000Z
2735,19,Coca-Cola Amatil Ltd,CCL,CCL,False,13.37,0.000,0.000,13.370,13.380,13.370,13.37,7.770,13.410,176020671.8,3.403,11.047,False,9679875976,13160649,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:56.000000Z,2021-02-18T08:32:15.000000Z
2922,16,Domino's PIZZA Enterprises Ltd,DMP,DMP,False,110.85,5.850,5.571,114.300,115.970,108.820,105.0,41.660,115.970,42716221.9,27.884,75.952,False,9591115010,384985,2021-02-17T18:12:51.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:57.000000Z,2021-02-18T08:32:17.000000Z
2430,15,Auckland International Airport Ltd,AIA,AIA,False,6.35,-0.130,-2.006,6.450,6.480,6.350,6.48,4.170,8.320,3253715.9,-11.437,-20.625,False,9350699720,507584,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:55.000000Z,2021-02-18T08:32:13.000000Z
2950,17,Dexus,DXS,DXS,False,8.53,-0.080,-0.929,8.640,8.700,8.480,8.61,8.030,13.510,33524078.9,-9.255,-36.391,False,9264134535,3924978,2021-02-17T18:10:00.000000Z,SYSTEM_MAINTENANCE,,2020-09-29T07:45:57.000000Z,2021-02-18T08:32:17.000000Z
